,Unnamed: 0,smi,ID,mol,SA score,Mol wt,fitness value,prop
525429,5083557,CN1N=C(CN)C(S(C)(=O)=O)=C1,MCULE-9579697872,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834620>,2.82413461351702,189.24,-0.7177,-0.7177
417875,4271306,N1(CCC(CC1)CN)CC(C)(C)C,MCULE-4892542223,<rdkit.Chem.rdchem.Mol object at 0x00000140C98345D0>,2.24786744231652,184.327,1.7032,1.7032
272248,3425038,N(=O)N(C)C,MCULE-1157726226,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834580>,2.8978955151555,74.083,0.2294,0.2294
388036,4181069,N1C(N)C(=O)NC2C=CC=CC=2C=1C,MCULE-7668226470,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834530>,3.13897892288369,189.218,0.7325,0.7325
228147,2977410,C12C(C)=NNC=1CC(C(=O)C2=O)(C)C,MCULE-2294375213,<rdkit.Chem.rdchem.Mol object at 0x00000140C98344E0>,3.13421530502686,192.218,1.05222,1.05222
224607,2958111,C1(C)C=C(C=CC=1C)OCCNC,MCULE-2703333328,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834490>,1.71223975000883,179.263,1.90164,1.90164
169354,2233573,N1C(CCCOCCO)=CC=CC=1C,MCULE-2812736084,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834440>,2.09276673953829,195.262,1.33152,1.33152
59104,675540,C1(=CC=CS1)C(CC)=NO,MCULE-8324402912,<rdkit.Chem.rdchem.Mol object at 0x00000140C98343F0>,2.63508090513705,155.222,2.3364,2.3364
573758,5573047,C1=C([C@@H](CC(C)=C)N)C(C)=CC=C1C,MCULE-5197443280,<rdkit.Chem.rdchem.Mol object at 0x00000140C98343A0>,2.70968511191295,189.302,3.26944,3.26944
336660,3842131,N1NC2=C(C(N)=NC=N2)C=1C#N,MCULE-7447643789,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834350>,3.0977650908196,160.14,-0.19322,-0.19322
225603,2960425,CC(=O)SC(=O)C,MCULE-5749449964,<rdkit.Chem.rdchem.Mol object at 0x00000140C9834300>,3.01656566797204,118.157,0.8126,0.8126
